OID,Id,ORIG_FID,dswrf1,dswrf2,dswrf3,dswrf4,dswrf5,dswrf6,dswrf7,dswrf8,dswrf9,dswrf10,dswrf11,dswrf12
13,53665,13483,27.80661583,71.76995087,149.1699524,233.3499298,290.0099182,303.6133118,265.3532715,214.0199585,149.3999481,90.68995667,37.86662292,17.32995224
14,53666,13484,26.30328941,67.88329315,141.059967,220.5932922,282.2333069,299.5532837,261.4732971,212.0365906,147.5832825,87.81663513,36.46995163,16.48995209
15,53667,13485,26.30328941,67.88329315,141.059967,220.5932922,282.2333069,299.5532837,261.4732971,212.0365906,147.5832825,87.81663513,36.46995163,16.48995209
16,53668,13486,23.50328445,60.15661621,125.1299515,196.1399689,254.529953,276.7632751,248.3699493,203.7466125,141.4799652,79.85328674,33.17661667,14.86328697
17,53669,13487,23.50328445,60.15661621,125.1299515,196.1399689,254.529953,276.7632751,248.3699493,203.7466125,141.4799652,79.85328674,33.17661667,14.86328697
18,53670,13488,22.92328835,57.94994354,121.6599503,192.7032776,250.4999695,274.6733093,250.509964,202.2299347,139.7332916,77.67662048,32.28995132,14.49995232
19,53671,13489,22.92328835,57.94994354,121.6599503,192.7032776,250.4999695,274.6733093,250.509964,202.2299347,139.7332916,77.67662048,32.28995132,14.49995232
20,53672,13490,22.6232872,56.94329071,120.0166321,191.5999603,248.2432556,275.5266418,253.0032806,202.936615,139.3132782,76.37663269,31.92328453,14.34661865
21,53673,13491,22.6232872,56.94329071,120.0166321,191.5999603,248.2432556,275.5266418,253.0032806,202.936615,139.3132782,76.37663269,31.92328453,14.34661865
22,53675,13492,22.63328934,57.12328339,120.2432938,192.7966156,247.7133636,279.3733215,255.9032898,205.9166412,140.2666168,75.92662048,32.05328369,14.47662067
23,53676,13493,22.87995148,57.88995361,121.1132813,195.3932953,250.3632813,280.1732483,256.5965881,205.2466278,140.2232819,76.58662415,32.42328262,14.5566206
24,53678,13494,23.0699501,58.58662415,122.8766098,198.5832825,254.6132965,282.8433228,260.6032715,206.8032837,140.4566345,76.68662262,32.61995697,14.69328785
25,53679,13495,23.22661972,59.18994904,125.4832993,202.3466339,260.4966125,287.3432922,267.9699707,210.5566559,140.9632874,76.32662964,32.67995453,14.71328735
26,53680,13496,23.22661972,59.18994904,125.4832993,202.3466339,260.4966125,287.3432922,267.9699707,210.5566559,140.9632874,76.32662964,32.67995453,14.71328735
27,53681,13497,23.09328651,58.49329376,124.1132965,201.7732697,260.8466492,286.0799561,265.6199341,209.5233002,138.3066101,75.029953,32.09328461,14.51662064
28,53682,13498,23.09328651,58.49329376,124.1132965,201.7732697,260.8466492,286.0799561,265.6199341,209.5233002,138.3066101,75.029953,32.09328461,14.51662064
29,53683,13499,24.26661873,61.483284,129.6999359,211.4399567,271.6699829,292.4099731,269.4833069,213.4266663,140.8166199,76.90662384,33.04661942,15.11995125
30,53684,13500,24.26661873,61.483284,129.6999359,211.4399567,271.6699829,292.4099731,269.4833069,213.4266663,140.8166199,76.90662384,33.04661942,15.11995125
31,53685,13501,26.77662086,68.19994354,142.3265991,231.3732605,292.9499817,306.4233398,279.5032959,222.2666016,148.4833069,81.91994476,35.58328629,16.46328545
32,53686,13502,26.77662086,68.19994354,142.3265991,231.3732605,292.9499817,306.4233398,279.5032959,222.2666016,148.4833069,81.91994476,35.58328629,16.46328545
33,53687,13503,27.3966198,69.40328979,143.6532898,234.7866211,298.3799438,314.706665,283.2666626,226.7233124,152.009964,83.99996185,36.11328506,16.78661728
34,53688,13504,27.3966198,69.40328979,143.6532898,234.7866211,298.3799438,314.706665,283.2666626,226.7233124,152.009964,83.99996185,36.11328506,16.78661728
35,53689,13505,28.28661919,71.52993774,146.8632813,239.2233124,303.3466187,318.663269,283.916626,228.4699249,155.3999329,86.48662567,37.11328506,17.38328171
36,53690,13506,28.28661919,71.52993774,146.8632813,239.2233124,303.3466187,318.663269,283.916626,228.4699249,155.3999329,86.48662567,37.11328506,17.38328171
37,53691,13507,29.44995308,74.55995941,151.913269,244.6732788,307.8633118,318.309967,281.4066772,227.5366211,158.7032928,89.39994812,38.59328079,18.2566185
38,53692,13508,29.80661583,75.33328247,152.8299866,243.6299591,304.1832886,324.1966553,283.0966492,229.8966522,159.7499695,91.56661224,39.29328537,18.53994942
