OID,Id,ORIG_FID,vbdsf1,vbdsf2,vbdsf3,vbdsf4,vbdsf5,vbdsf6,vbdsf7,vbdsf8,vbdsf9,vbdsf10,vbdsf11,vbdsf12
8209,50323,11332,19.26995277,35.81328964,59.52662277,84.82662201,100.8099442,102.8199539,97.15995789,86.25328827,69.31994629,44.46329498,23.52661896,14.88662052
8210,50324,11333,19.26995277,35.81328964,59.52662277,84.82662201,100.8099442,102.8199539,97.15995789,86.25328827,69.31994629,44.46329498,23.52661896,14.88662052
8211,50325,11334,16.52662086,31.24328423,54.88328552,81.55994415,98.52663422,100.7966156,95.44329071,84.32327271,67.82662201,42.92995453,21.40328598,13.22661972
8212,50326,11335,16.52662086,31.24328423,54.88328552,81.55994415,98.52663422,100.7966156,95.44329071,84.32327271,67.82662201,42.92995453,21.40328598,13.22661972
8213,50327,11336,16.61995316,30.9366188,55.08661652,82.52661896,99.99996185,101.1266174,95.53328705,82.779953,67.87328339,43.50328064,21.13328743,13.38995075
8214,50328,11337,16.61995316,30.9366188,55.08661652,82.52661896,99.99996185,101.1266174,95.53328705,82.779953,67.87328339,43.50328064,21.13328743,13.38995075
8215,50329,11338,22.53661919,40.82329178,68.35328674,94.26329041,107.026619,105.6266098,96.87661743,85.71994781,73.09663391,48.88328934,26.05328751,17.42995453
8216,50330,11339,22.53661919,40.82329178,68.35328674,94.26329041,107.026619,105.6266098,96.87661743,85.71994781,73.09663391,48.88328934,26.05328751,17.42995453
8217,50331,11340,25.35661888,45.62995148,75.18994904,100.3099594,110.7999573,107.3899612,97.5632782,87.79662323,76.15663147,51.54328156,28.53328514,19.4366188
8218,50332,11341,25.04995155,45.40328217,75.56661987,100.6199646,111.2699661,106.483284,97.54328918,89.00328827,77.05327606,51.43328857,28.57661819,19.41328621
8219,50333,11342,25.04995155,45.40328217,75.56661987,100.6199646,111.2699661,106.483284,97.54328918,89.00328827,77.05327606,51.43328857,28.57661819,19.41328621
8220,50334,11343,19.22995377,36.51328659,64.9932785,92.86995697,107.6532822,105.0266113,97.25996399,88.53662109,74.32662201,47.35661316,24.50995255,15.42995262
8221,50335,11344,19.22995377,36.51328659,64.9932785,92.86995697,107.6532822,105.0266113,97.25996399,88.53662109,74.32662201,47.35661316,24.50995255,15.42995262
8222,50336,11345,16.79661942,32.4366188,59.78328323,88.41994476,105.916626,103.7366257,96.31994629,88.13329315,72.12329102,45.29995346,22.64661789,13.62995338
8223,50337,11346,16.79661942,32.4366188,59.78328323,88.41994476,105.916626,103.7366257,96.31994629,88.13329315,72.12329102,45.29995346,22.64661789,13.62995338
8224,50338,11347,17.72661972,33.19662094,59.94995499,87.2966156,106.099968,102.5999527,94.70995331,87.82660675,70.41661835,45.26329041,23.02328491,14.02662182
8225,50339,11348,17.72661972,33.19662094,59.94995499,87.2966156,106.099968,102.5999527,94.70995331,87.82660675,70.41661835,45.26329041,23.02328491,14.02662182
8226,50340,11349,21.50662041,38.94661713,66.99662781,91.9332962,109.9399414,103.3932877,93.03994751,87.76660919,72.30329132,48.15662003,26.19661713,16.67995644
8227,50341,11350,21.50662041,38.94661713,66.99662781,91.9332962,109.9399414,103.3932877,93.03994751,87.76660919,72.30329132,48.15662003,26.19661713,16.67995644
8228,50342,11351,22.50662041,40.62328339,69.06995392,92.72327423,110.7599564,102.7499619,91.14661407,86.279953,72.5832901,49.1799469,27.27328491,17.37662125
8229,50343,11352,22.50662041,40.62328339,69.06995392,92.72327423,110.7599564,102.7499619,91.14661407,86.279953,72.5832901,49.1799469,27.27328491,17.37662125
8230,50344,11353,20.74328613,38.233284,66.14328766,89.66661835,108.5699692,100.66996,88.99661255,83.38994598,71.19327545,48.31328964,26.28995323,16.11661911
8231,50345,11354,20.74328613,38.233284,66.14328766,89.66661835,108.5699692,100.66996,88.99661255,83.38994598,71.19327545,48.31328964,26.28995323,16.11661911
8232,50346,11355,19.51328659,36.53995895,64.04662323,88.08327484,106.0532913,99.46994019,87.98662567,81.13994598,69.70327759,47.20661926,25.49328613,15.529953
8233,50347,11356,19.38328743,36.30995178,62.81328201,87.17327118,102.8166351,97.68994904,85.91329193,78.64328766,68.06329346,46.28328705,25.25328636,15.49995136
8234,50348,11357,19.38328743,36.30995178,62.81328201,87.17327118,102.8166351,97.68994904,85.91329193,78.64328766,68.06329346,46.28328705,25.25328636,15.49995136
8235,50349,11358,20.36328506,37.52995682,62.4732933,86.91996002,98.84328461,95.27329254,82.80662537,75.88661957,66.26328278,45.51661682,25.56661987,16.06328583
8236,50350,11359,20.36328506,37.52995682,62.4732933,86.91996002,98.84328461,95.27329254,82.80662537,75.88661957,66.26328278,45.51661682,25.56661987,16.06328583
8237,50351,11360,18.08661842,33.92995453,56.88995743,82.74661255,92.43327332,90.79662323,80.55329132,72.67328644,63.05661774,43.68661118,23.75662041,14.54328632
8238,50352,11361,18.08661842,33.92995453,56.88995743,82.74661255,92.43327332,90.79662323,80.55329132,72.67328644,63.05661774,43.68661118,23.75662041,14.54328632
8239,50353,11362,16.93995094,31.99661827,53.47661591,79.15995026,87.32661438,86.83995056,77.84329224,69.76994324,61.01329041,42.53995895,22.8499527,13.84995461
8240,50354,11363,16.93995094,31.99661827,53.47661591,79.15995026,87.32661438,86.83995056,77.84329224,69.76994324,61.01329041,42.53995895,22.8499527,13.84995461
