OID,Id,ORIG_FID,vddsf1,vddsf2,vddsf3,vddsf4,vddsf5,vddsf6,vddsf7,vddsf8,vddsf9,vddsf10,vddsf11,vddsf12
108,53842,13578,12.94328594,24.51328278,42.70328903,53.47995377,63.84328079,72.03661346,69.6999588,58.58662033,45.51662064,27.66661644,15.17995262,9.32995224
109,53843,13579,12.94328594,24.51328278,42.70328903,53.47995377,63.84328079,72.03661346,69.6999588,58.58662033,45.51662064,27.66661644,15.17995262,9.32995224
110,53844,13580,13.40661812,25.50662231,43.00661469,54.52661514,64.00328827,73.04662323,71.24662018,59.85995102,45.54994965,27.51328659,14.94328499,9.589951515
111,53845,13581,13.40661812,25.50662231,43.00661469,54.52661514,64.00328827,73.04662323,71.24662018,59.85995102,45.54994965,27.51328659,14.94328499,9.589951515
112,53846,13582,13.85661793,26.51328278,44.26329041,56.11661911,64.50661469,73.46996307,72.08995819,60.66994476,45.50661469,28.09328651,15.12995434,9.796617508
113,53847,13583,13.85661793,26.51328278,44.26329041,56.11661911,64.50661469,73.46996307,72.08995819,60.66994476,45.50661469,28.09328651,15.12995434,9.796617508
114,53848,13584,14.31995487,27.51661491,46.47661209,58.279953,65.30328369,73.36328888,72.23995972,61.00661469,45.35995102,29.36995316,15.69328499,9.93995285
115,53849,13585,14.31995487,27.51661491,46.47661209,58.279953,65.30328369,73.36328888,72.23995972,61.00661469,45.35995102,29.36995316,15.69328499,9.93995285
116,53850,13586,14.41662216,28.04328728,48.07995605,60.18327713,66.0666275,73.82995605,72.97994232,61.86328506,45.34328079,30.04661369,16.07995033,9.989951134
117,53851,13587,14.41662216,28.04328728,48.07995605,60.18327713,66.0666275,73.82995605,72.97994232,61.86328506,45.34328079,30.04661369,16.07995033,9.989951134
118,53852,13588,14.49661732,28.43662071,49.17995071,61.82995605,67.15328979,74.27994537,73.40660858,62.47327805,45.38329315,30.67994499,16.51995087,9.959951401
119,53853,13589,14.49661732,28.43662071,49.17995071,61.82995605,67.15328979,74.27994537,73.40660858,62.47327805,45.38329315,30.67994499,16.51995087,9.959951401
120,53854,13590,14.57661819,28.7099514,49.77329254,63.24662018,68.56661987,74.6999588,73.47663116,62.8532753,45.49662018,31.1932869,17.02328491,9.843285561
121,53855,13591,14.57661819,28.7099514,49.77329254,63.24662018,68.56661987,74.6999588,73.47663116,62.8532753,45.49662018,31.1932869,17.02328491,9.843285561
122,53856,13592,14.5266161,29.11328697,50.03662109,63.92328262,69.02328491,74.54328156,72.95329285,62.62662506,45.30662155,31.47661972,17.2566185,9.729953766
123,53857,13593,14.42328548,29.58995247,50.30329132,64.43995667,69.18995667,74.22995758,72.25995636,62.46327591,45.17329025,31.73661995,17.41995049,9.55661869
124,53858,13594,14.42328548,29.58995247,50.30329132,64.43995667,69.18995667,74.22995758,72.25995636,62.46327591,45.17329025,31.73661995,17.41995049,9.55661869
125,53859,13595,14.30328655,30.11661339,50.59328461,64.88329315,69.06995392,73.79329681,71.3866272,62.33995438,45.1066246,32.02328491,17.49662018,9.32995224
126,53860,13596,14.30328655,30.11661339,50.59328461,64.88329315,69.06995392,73.79329681,71.3866272,62.33995438,45.1066246,32.02328491,17.49662018,9.32995224
127,53861,13597,14.11328697,30.80661583,50.82661438,65.82661438,69.20661926,73.6999588,71.48995972,62.60995102,45.01329422,32.34662247,17.51328468,9.146617889
128,53862,13598,14.11328697,30.80661583,50.82661438,65.82661438,69.20661926,73.6999588,71.48995972,62.60995102,45.01329422,32.34662247,17.51328468,9.146617889
