OID,Id,ORIG_FID,nbdsf1,nbdsf2,nbdsf3,nbdsf4,nbdsf5,nbdsf6,nbdsf7,nbdsf8,nbdsf9,nbdsf10,nbdsf11,nbdsf12
84,53753,13554,9.356619835,20.36661911,44.34328461,72.71995544,91.61660767,99.38661194,93.20996094,69.22994995,47.29995346,23.733284,11.06995106,6.273286819
85,53754,13555,9.34662056,20.49328804,44.41662598,71.53662109,92.32994843,98.18993378,91.62995911,68.90329742,46.72994614,23.50328636,10.69995499,6.156620502
86,53755,13556,9.34662056,20.49328804,44.41662598,71.53662109,92.32994843,98.18993378,91.62995911,68.90329742,46.72994614,23.50328636,10.69995499,6.156620502
87,53756,13557,9.803286552,21.97662163,46.55329514,72.02662659,92.79328918,94.8899765,88.30995178,66.79662323,44.08660889,22.5999527,10.16328526,5.949954033
88,53816,13558,7.629952908,20.03328896,39.68994904,65.83661652,86.529953,88.5499649,81.57328796,68.10662079,42.98661804,24.59662056,10.49328709,4.759953499
89,53817,13559,7.629952908,20.03328896,39.68994904,65.83661652,86.529953,88.5499649,81.57328796,68.10662079,42.98661804,24.59662056,10.49328709,4.759953499
90,53818,13560,7.553287029,20.03661728,38.87995148,65.84329224,86.5666275,89.08995819,81.47995758,68.28328705,43.08995819,24.49995613,10.55328655,4.663286686
91,53824,13561,7.486619949,20.15995407,37.483284,65.64328766,89.18995667,94.24662018,84.71662903,68.93662262,43.1099472,23.50995255,10.39995289,4.759953499
92,53825,13562,7.486619949,20.15995407,37.483284,65.64328766,89.18995667,94.24662018,84.71662903,68.93662262,43.1099472,23.50995255,10.39995289,4.759953499
93,53826,13563,7.749953747,20.89328766,38.67661667,67.12328339,91.90661621,97.26329041,88.14994812,69.92661285,44.22661972,23.84661865,10.84328747,5.09662056
94,53827,13564,8.22661972,22.19662285,41.62662125,70.62328339,95.78328705,102.2566376,91.64328766,71.61995697,46.61995316,25.28328705,11.3066206,5.456620693
95,53828,13565,8.22661972,22.19662285,41.62662125,70.62328339,95.78328705,102.2566376,91.64328766,71.61995697,46.61995316,25.28328705,11.3066206,5.456620693
96,53829,13566,8.533288002,23.07661819,44.26995087,73.07661438,98.30329132,104.3666077,92.97996521,72.58995819,48.25329208,26.30661964,11.56995201,5.723287106
97,53830,13567,8.533288002,23.07661819,44.26995087,73.07661438,98.30329132,104.3666077,92.97996521,72.58995819,48.25329208,26.30661964,11.56995201,5.723287106
98,53831,13568,8.763286591,23.56662178,46.59995651,74.48995972,99.43659973,103.596611,92.16661835,72.82995605,49.10996246,26.91329002,11.6432848,5.866620064
99,53832,13569,8.763286591,23.56662178,46.59995651,74.48995972,99.43659973,103.596611,92.16661835,72.82995605,49.10996246,26.91329002,11.6432848,5.866620064
100,53833,13570,9.333286285,24.79661942,49.38661575,77.83660126,102.369957,103.7632904,92.20328522,72.57661438,51.74661636,28.59328842,12.27995396,6.369953632
101,53834,13571,9.333286285,24.79661942,49.38661575,77.83660126,102.369957,103.7632904,92.20328522,72.57661438,51.74661636,28.59328842,12.27995396,6.369953632
102,53835,13572,9.009953499,23.70662308,48.56662369,76.78994751,101.863266,103.3799591,92.52328491,72.10662079,51.75661469,28.06661987,11.86995316,6.219953537
103,53836,13573,9.009953499,23.70662308,48.56662369,76.78994751,101.863266,103.3799591,92.52328491,72.10662079,51.75661469,28.06661987,11.86995316,6.219953537
104,53837,13574,7.799953938,20.31328774,44.13328552,71.38994598,97.87995911,102.4732819,93.0832901,71.40328979,49.15328217,25.33661652,10.44995403,5.419953346
105,53838,13575,7.799953938,20.31328774,44.13328552,71.38994598,97.87995911,102.4732819,93.0832901,71.40328979,49.15328217,25.33661652,10.44995403,5.419953346
106,53839,13576,7.556620598,19.43328667,42.76661301,70.97329712,98.50995636,104.6466217,96.76329041,73.83994293,48.78662109,24.14328575,10.07328606,5.179953575
107,53840,13577,7.556620598,19.43328667,42.76661301,70.97329712,98.50995636,104.6466217,96.76329041,73.83994293,48.78662109,24.14328575,10.07328606,5.179953575
108,53842,13578,8.363287926,22.10328865,47.6966095,76.71995544,104.5899582,109.8099518,101.1899643,75.82662201,51.08661652,25.31328583,10.70995426,5.759953499
109,53843,13579,8.363287926,22.10328865,47.6966095,76.71995544,104.5899582,109.8099518,101.1899643,75.82662201,51.08661652,25.31328583,10.70995426,5.759953499
110,53844,13580,9.473286629,23.54661942,50.46661758,79.69661713,106.549942,109.2199554,99.57662201,74.47661591,52.68662262,27.74662209,11.73995304,6.443288326
111,53845,13581,9.473286629,23.54661942,50.46661758,79.69661713,106.549942,109.2199554,99.57662201,74.47661591,52.68662262,27.74662209,11.73995304,6.443288326
112,53846,13582,9.699952126,23.38995361,50.52661896,79.38994598,105.1666336,106.4599609,96.86327362,72.75328064,52.80662155,28.44995308,11.88995266,6.566621304
113,53847,13583,9.699952126,23.38995361,50.52661896,79.38994598,105.1666336,106.4599609,96.86327362,72.75328064,52.80662155,28.44995308,11.88995266,6.566621304
114,53848,13584,9.09662056,21.5832901,47.85995865,75.7966156,100.4399719,101.4932938,92.97330475,70.63661194,51.44329071,27.41328621,11.1699543,6.089953423
115,53849,13585,9.09662056,21.5832901,47.85995865,75.7966156,100.4399719,101.4932938,92.97330475,70.63661194,51.44329071,27.41328621,11.1699543,6.089953423
116,53850,13586,8.593287468,20.56328774,45.7966156,73.25662231,97.05995941,97.84661102,90.02327728,69.23661804,50.24328995,26.3966198,10.70662022,5.746620178
117,53851,13587,8.593287468,20.56328774,45.7966156,73.25662231,97.05995941,97.84661102,90.02327728,69.23661804,50.24328995,26.3966198,10.70662022,5.746620178
118,53852,13588,8.35995388,20.3499527,44.4899559,71.74996185,94.27996063,94.82328796,87.30329132,68.01662445,49.14995956,25.83328438,10.5766201,5.526619911
119,53853,13589,8.35995388,20.3499527,44.4899559,71.74996185,94.27996063,94.82328796,87.30329132,68.01662445,49.14995956,25.83328438,10.5766201,5.526619911
120,53854,13590,8.403287888,20.98995399,43.94328308,71.26329041,92.09996796,92.41995239,84.84328461,66.9932785,48.19662094,25.71328735,10.75328732,5.419953346
121,53855,13591,8.403287888,20.98995399,43.94328308,71.26329041,92.09996796,92.41995239,84.84328461,66.9932785,48.19662094,25.71328735,10.75328732,5.419953346
122,53856,13592,8.459953308,21.56328583,43.6932869,71.483284,91.44662476,92.50662231,84.3332901,67.42996216,47.53329086,25.72661591,10.98328781,5.413286686
123,53857,13593,8.363287926,21.65328598,42.97995758,70.91662598,90.65661621,92.25662231,84.08662415,67.42661285,46.6232872,25.52995491,10.9832859,5.24328661
124,53858,13594,8.363287926,21.65328598,42.97995758,70.91662598,90.65661621,92.25662231,84.08662415,67.42661285,46.6232872,25.52995491,10.9832859,5.24328661
125,53859,13595,8.139954567,21.23662186,41.80327988,69.55995178,89.71660614,91.69995117,84.1366272,67.0032959,45.46995163,25.14328766,10.73995304,4.956620216
126,53860,13596,8.139954567,21.23662186,41.80327988,69.55995178,89.71660614,91.69995117,84.1366272,67.0032959,45.46995163,25.14328766,10.73995304,4.956620216
127,53861,13597,7.956620216,20.7399559,41.59661865,68.88996124,89.31660461,90.75995636,84.62661743,67.14328766,45.14328766,24.98662186,10.6699543,4.699953556
128,53862,13598,7.956620216,20.7399559,41.59661865,68.88996124,89.31660461,90.75995636,84.62661743,67.14328766,45.14328766,24.98662186,10.6699543,4.699953556
129,53863,13599,7.996620178,21.00995445,42.08662033,69.31328583,89.483284,90.0432663,84.91661835,67.25661469,45.14995193,25.19329071,10.70995426,4.613286972
130,53864,13600,7.996620178,21.00995445,42.08662033,69.31328583,89.483284,90.0432663,84.91661835,67.25661469,45.14995193,25.19329071,10.70995426,4.613286972
131,53865,13601,8.263286591,22.01661873,43.25328445,70.74995422,90.19328308,89.54663086,85.03994751,67.33995056,45.53661346,25.72328758,10.88995361,4.689954758
132,53866,13602,8.263286591,22.01661873,43.25328445,70.74995422,90.19328308,89.54663086,85.03994751,67.33995056,45.53661346,25.72328758,10.88995361,4.689954758
133,53867,13603,8.26662159,22.65328407,43.82328796,71.65662384,91.03329468,89.81661987,84.79662323,67.55327606,45.45329285,25.77995682,10.99328709,4.873286724
134,53868,13604,8.26662159,22.65328407,43.82328796,71.65662384,91.03329468,89.81661987,84.79662323,67.55327606,45.45329285,25.77995682,10.99328709,4.873286724
135,53869,13605,7.979953289,22.19995308,43.06661606,71.33662415,90.87328339,90.26661682,84.59994507,67.74994659,45.20328522,25.30662155,10.74661922,4.843286514
136,53870,13606,7.979953289,22.19995308,43.06661606,71.33662415,90.87328339,90.26661682,84.59994507,67.74994659,45.20328522,25.30662155,10.74661922,4.843286514
137,53871,13607,7.389953136,20.65661812,40.93662643,69.83328247,89.72328949,90.8966217,84.42996216,67.94663239,44.72328949,24.31661606,10.06995487,4.646620274
138,53872,13608,6.849953175,19.15662003,38.67328262,67.95662689,88.60997009,91.03327942,84.48329163,68.21661377,44.31661224,23.40328789,9.60995388,4.4632864
