OID,Id,ORIG_FID,nddsf1,nddsf2,nddsf3,nddsf4,nddsf5,nddsf6,nddsf7,nddsf8,nddsf9,nddsf10,nddsf11,nddsf12
93,53826,13563,4.189952374,9.13995266,15.87661839,21.97327995,24.96328926,29.02662086,27.39328575,23.44994736,17.09662056,10.84328651,5.039953709,2.786619902
94,53827,13564,4.389953136,9.563286781,16.75328636,23.92995071,26.91328621,30.8666172,28.85661697,24.39328766,18.02995491,11.36328506,5.329953194,2.969952583
95,53828,13565,4.389953136,9.563286781,16.75328636,23.92995071,26.91328621,30.8666172,28.85661697,24.39328766,18.02995491,11.36328506,5.329953194,2.969952583
96,53829,13566,4.533286572,9.739953995,16.92995071,24.63662148,27.38661766,31.02662086,29.11328697,24.60994911,18.59661865,11.49995327,5.539953709,3.139952898
97,53830,13567,4.533286572,9.739953995,16.92995071,24.63662148,27.38661766,31.02662086,29.11328697,24.60994911,18.59661865,11.49995327,5.539953709,3.139952898
98,53831,13568,4.633285999,9.623287201,16.36328506,24.08995247,26.35328865,29.52328491,28.14995575,24.12995148,18.76328087,11.23661995,5.659952641,3.246618986
99,53832,13569,4.633285999,9.623287201,16.36328506,24.08995247,26.35328865,29.52328491,28.14995575,24.12995148,18.76328087,11.23661995,5.659952641,3.246618986
100,53833,13570,4.813285828,9.889950752,16.6932869,23.65662384,26.05661964,29.49995613,29.15328598,24.84328651,18.51995468,10.59661961,5.669953346,3.313286543
101,53834,13571,4.813285828,9.889950752,16.6932869,23.65662384,26.05661964,29.49995613,29.15328598,24.84328651,18.51995468,10.59661961,5.669953346,3.313286543
102,53835,13572,4.929953098,9.996621132,16.81661797,23.07662201,25.10662079,28.44995117,28.28994942,24.30661964,17.97661972,10.25328636,5.623287678,3.369952917
103,53836,13573,4.929953098,9.996621132,16.81661797,23.07662201,25.10662079,28.44995117,28.28994942,24.30661964,17.97661972,10.25328636,5.623287678,3.369952917
104,53837,13574,5.009953976,9.956619263,16.7332859,22.33328629,23.48662186,26.39328194,25.58661652,22.54995346,17.12661934,10.17661858,5.569953442,3.386619329
105,53838,13575,5.009953976,9.956619263,16.7332859,22.33328629,23.48662186,26.39328194,25.58661652,22.54995346,17.12661934,10.17661858,5.569953442,3.386619329
106,53839,13576,4.956619263,9.529951096,16.3432827,20.54328537,22.38995171,25.50328827,24.4432888,21.16995239,16.47995377,10.19995308,5.546619892,3.463286161
107,53840,13577,4.956619263,9.529951096,16.3432827,20.54328537,22.38995171,25.50328827,24.4432888,21.16995239,16.47995377,10.19995308,5.546619892,3.463286161
108,53842,13578,4.899953365,8.779953957,16.07328606,19.16328812,21.43994904,25.4266243,24.06661797,20.76995277,16.12328529,9.936618805,5.46995306,3.373286724
109,53843,13579,4.899953365,8.779953957,16.07328606,19.16328812,21.43994904,25.4266243,24.06661797,20.76995277,16.12328529,9.936618805,5.46995306,3.373286724
110,53844,13580,4.829953194,9.013287544,16.06995392,19.78328323,22.02328491,27.00662231,26.19995117,22.6166172,16.81661797,9.879952431,5.419952393,3.369952917
111,53845,13581,4.829953194,9.013287544,16.06995392,19.78328323,22.02328491,27.00662231,26.19995117,22.6166172,16.81661797,9.879952431,5.419952393,3.369952917
112,53846,13582,5.083285809,9.783285141,17.05995369,21.14661789,23.00995064,28.13328743,27.62661934,23.88328362,17.27328491,10.29995346,5.679953575,3.549952984
113,53847,13583,5.083285809,9.783285141,17.05995369,21.14661789,23.00995064,28.13328743,27.62661934,23.88328362,17.27328491,10.29995346,5.679953575,3.549952984
114,53848,13584,5.609953403,11.15995312,19.08661842,23.19661713,24.38328362,28.77995491,28.37995148,24.54995155,17.50328636,11.15661812,6.213286877,3.873286486
115,53849,13585,5.609953403,11.15995312,19.08661842,23.19661713,24.38328362,28.77995491,28.37995148,24.54995155,17.50328636,11.15661812,6.213286877,3.873286486
116,53850,13586,6.023286343,12.06661797,20.69661903,25.18328476,25.47661972,29.60328484,29.33662033,25.42328453,17.7566185,11.88995171,6.666619778,4.083285809
117,53851,13587,6.023286343,12.06661797,20.69661903,25.18328476,25.47661972,29.60328484,29.33662033,25.42328453,17.7566185,11.88995171,6.666619778,4.083285809
118,53852,13588,6.2932868,12.51661873,21.90994835,26.78328705,26.72327995,30.40328979,30.08328438,26.10995483,18.0699501,12.44661999,6.976620197,4.17661953
119,53853,13589,6.2932868,12.51661873,21.90994835,26.78328705,26.72327995,30.40328979,30.08328438,26.10995483,18.0699501,12.44661999,6.976620197,4.17661953
120,53854,13590,6.396619797,12.53661919,22.72328377,27.96328545,28.11661911,31.15662003,30.56661987,26.60328293,18.47662163,12.8699522,7.136620998,4.153286934
121,53855,13591,6.396619797,12.53661919,22.72328377,27.96328545,28.11661911,31.15662003,30.56661987,26.60328293,18.47662163,12.8699522,7.136620998,4.153286934
122,53856,13592,6.399952888,12.66661739,23.21328735,28.38661957,28.58328819,31.05661964,30.28995132,26.35328484,18.55995369,13.0732851,7.18328619,4.086619854
123,53857,13593,6.439953327,13.06661987,23.78328896,28.89661598,28.79995155,30.85661888,29.83328629,26.18328667,18.67995262,13.36662006,7.326621056,4.073286057
124,53858,13594,6.439953327,13.06661987,23.78328896,28.89661598,28.79995155,30.85661888,29.83328629,26.18328667,18.67995262,13.36662006,7.326621056,4.073286057
125,53859,13595,6.519953728,13.68662071,24.41995049,29.48661613,28.82328224,30.55328941,29.15995407,26.0999527,18.85662079,13.73661804,7.559952736,4.109952927
126,53860,13596,6.519953728,13.68662071,24.41995049,29.48661613,28.82328224,30.55328941,29.15995407,26.0999527,18.85662079,13.73661804,7.559952736,4.109952927
127,53861,13597,6.519953728,14.50995064,24.58661652,30.23661995,29.11661911,30.69995499,29.18661308,26.23662376,18.86995125,14.03328514,7.659954548,4.129952908
128,53862,13598,6.519953728,14.50995064,24.58661652,30.23661995,29.11661911,30.69995499,29.18661308,26.23662376,18.86995125,14.03328514,7.659954548,4.129952908
129,53863,13599,6.409952641,14.79995251,24.39328384,30.47328758,29.36328506,30.87994957,29.13328743,26.3032856,18.88328934,14.12328529,7.69995451,4.049952507
130,53864,13600,6.409952641,14.79995251,24.39328384,30.47328758,29.36328506,30.87994957,29.13328743,26.3032856,18.88328934,14.12328529,7.69995451,4.049952507
131,53865,13601,6.159953117,14.59995079,23.8099556,30.16329002,29.52662086,31.15328789,29.04327965,26.25662231,18.86328506,13.99995041,7.673286438,3.883285999
132,53866,13602,6.159953117,14.59995079,23.8099556,30.16329002,29.52662086,31.15328789,29.04327965,26.25662231,18.86328506,13.99995041,7.673286438,3.883285999
133,53867,13603,6.083286762,14.19328403,23.46995354,29.82995415,29.37661743,30.78661919,28.72995377,25.91995239,18.99995041,13.86328506,7.596621037,3.873286486
134,53868,13604,6.083286762,14.19328403,23.46995354,29.82995415,29.37661743,30.78661919,28.72995377,25.91995239,18.99995041,13.86328506,7.596621037,3.873286486
135,53869,13605,6.249953747,14.47328377,24.08661842,29.70328712,29.44662094,30.23995399,28.33661652,25.32662392,19.09661675,13.88328552,7.75661993,4.059953213
136,53870,13606,6.249953747,14.47328377,24.08661842,29.70328712,29.44662094,30.23995399,28.33661652,25.32662392,19.09661675,13.88328552,7.75661993,4.059953213
137,53871,13607,6.669952869,15.40328598,25.63661957,29.76328659,29.72995186,29.47661972,27.88661957,24.54995537,19.14328384,14.06661892,8.159953117,4.449952602
138,53872,13608,7.126619816,16.60328484,27.28995514,30.96995163,30.26661873,29.53661537,27.77994919,24.33661652,19.50995064,14.51661873,8.566619873,4.819952965
139,53873,13609,7.126619816,16.60328484,27.28995514,30.96995163,30.26661873,29.53661537,27.77994919,24.33661652,19.50995064,14.51661873,8.566619873,4.819952965
140,53874,13610,7.269952297,16.91661835,27.91328812,31.70661545,30.85995293,30.25328636,28.09662437,24.51328278,20.15328407,14.7332859,8.699953079,4.969952583
141,53875,13611,7.269952297,16.91661835,27.91328812,31.70661545,30.85995293,30.25328636,28.09662437,24.51328278,20.15328407,14.7332859,8.699953079,4.969952583
142,53876,13612,7.039953232,16.37995338,27.50995064,31.99661827,31.52328491,31.63661766,28.79995346,25.0932827,21.02995491,14.76328564,8.57328701,4.919952393
143,53877,13613,7.039953232,16.37995338,27.50995064,31.99661827,31.52328491,31.63661766,28.79995346,25.0932827,21.02995491,14.76328564,8.57328701,4.919952393
144,53878,13614,6.466619968,14.58661938,25.5066185,30.96328545,31.64661598,32.21995544,29.60328865,25.25995445,20.97662163,14.24661732,8.139954567,4.553286076
145,53879,13615,6.466619968,14.58661938,25.5066185,30.96328545,31.64661598,32.21995544,29.60328865,25.25995445,20.97662163,14.24661732,8.139954567,4.553286076
146,53880,13616,6.169953346,13.52995205,24.1866169,30.17328644,31.61328316,32.39328384,29.77328682,25.28661919,20.82661819,13.79661846,7.879952908,4.366619587
147,53881,13617,6.169953346,13.52995205,24.1866169,30.17328644,31.61328316,32.39328384,29.77328682,25.28661919,20.82661819,13.79661846,7.879952908,4.366619587
148,53882,13618,6.149953842,13.17328453,23.60995293,29.62661934,31.40661621,32.13995361,29.33995247,25.19328499,20.58662033,13.37995434,7.763286114,4.366619587
