FID,Id,ORIG_FID,k26_60_1,k26_60_2,k26_60_3,k26_60_4,k26_60_5,k26_60_6,k26_60_7,k26_60_8,k26_60_9,k26_60_10,k26_60_11,k26_60_12
7313,49184,10605,40.00859833,69.93099976,114.185997,163.7200012,206.6410065,234.121994,235.0140076,207.6419983,152.7619934,91.29930115,46.38880157,31.69860077
7314,49185,10606,41.15969849,71.39230347,116.7549973,165.1199951,207.4450073,234.5579987,235.1109924,206.6699982,153.8040009,91.94979858,47.66749954,32.92879868
7315,49186,10607,40.81719971,71.99810028,118.4300003,167.5370026,209.9190063,236.4459991,235.9940033,206.5789948,154.2339935,91.59269714,47.80009842,32.79029846
7316,49187,10608,40.40660095,72.82510376,120.2259979,170.4279938,213.2420044,239.1759949,237.1580048,206.4499969,155.0379944,91.46640015,47.80609894,32.26789856
7317,49188,10609,39.8409996,73.29180145,121.223999,172.6820068,216.0500031,241.5200043,238.3150024,206.2079926,155.5639954,90.92479706,47.42990112,31.39340019
7318,49189,10610,40.31150055,74.20159912,122.1389999,174.3589935,219.0339966,243.5690002,239.798996,206.6730042,155.996994,91.49819946,47.47169876,31.32299995
7319,49190,10611,39.78820038,74.10189819,123.1320038,175.8329926,221.3399963,244.7910004,240.9109955,207.3829956,156.3970032,92.28369904,47.50839996,30.85569954
7320,49191,10612,39.82730103,74.48760223,124.3470001,177.4210052,222.9149933,246.1340027,242.2489929,208.6560059,157.4179993,93.5542984,48.31389999,31.0170002
7321,49192,10613,41.11999893,75.68710327,125.7779999,179.128006,223.7769928,247.552002,243.595993,209.9089966,159.0010071,95.44090271,50.08710098,32.30250168
7322,49193,10614,42.99409866,76.95850372,126.9110031,180.3009949,223.8110046,248.6260071,244.2120056,210.8300018,160.1230011,97.09619904,51.54610062,33.77090073
7323,49194,10615,44.07220078,77.57099915,127.5630035,180.4170074,223.8509979,249.2700043,244.4349976,211.8769989,160.9900055,98.50630188,52.15850067,34.45209885
7324,49195,10616,44.50590134,78.15670013,127.9759979,180.5950012,224.3699951,250.776001,245.345993,213.6040039,161.8650055,99.38870239,52.53519821,34.57799911
7325,49196,10617,45.15779877,79.28679657,128.9900055,180.7109985,225.1360016,252.6589966,246.9199982,215.8130035,163.0700073,100.7890015,53.15219879,34.87870026
7326,49197,10618,45.55979919,79.8003006,129.901001,181.279007,226.3619995,254.246994,248.4279938,217.878006,164.3450012,101.7779999,53.66329956,35.03620148
7327,49198,10619,45.97700119,80.40249634,131.1159973,182.3739929,227.973999,255.9179993,250.1519928,219.9279938,165.6390076,102.5490036,54.0243988,35.09690094
7328,49199,10620,46.45700073,81.91940308,133.3659973,183.677002,229.4629974,257.0629883,251.9089966,221.3540039,166.1889954,102.6409988,53.9137001,34.69720078
7329,49200,10621,46.89070129,83.39320374,135.326004,184.9320068,231.4830017,258.6220093,254.3320007,223.279007,167.2660065,102.8010025,53.98020172,34.80630112
7330,49201,10622,47.39049911,82.73989868,135.0429993,186.6880035,234.0269928,261.1789856,257.7630005,225.9459991,169.7180023,104.5820007,55.12689972,35.8144989
7331,49202,10623,47.57049942,81.86380005,134.1490021,188.0379944,236.4409943,264.2579956,261.0490112,228.4880066,171.8549957,106.5490036,56.13990021,36.6719017
7332,49203,10624,47.83100128,82.40319824,134.7519989,189.3619995,237.121994,265.7520142,262.8190002,230.3190002,173.0359955,107.4720001,56.2254982,36.81909943
7333,49204,10625,48.02970123,82.89990234,135.6999969,190.6519928,238.2200012,267.368988,264.105011,231.6080017,173.9329987,108.3430023,56.36449814,36.95080185
7334,49205,10626,48.27399826,83.53910065,136.2579956,191.1349945,238.6759949,267.4660034,264.1950073,231.9689941,174.4940033,108.5670013,56.23889923,37.02489853
7335,49206,10627,48.34120178,83.89089966,135.8580017,190.4290009,238.3659973,266.8659973,263.4230042,231.5619965,174.5570068,108.098999,55.81129837,36.84159851
7336,49207,10628,48.29040146,83.92949677,134.628006,189.0619965,237.1990051,265.6329956,262.1459961,230.552002,173.7899933,107.2549973,55.32839966,36.51879883
7337,49208,10629,48.46609879,84.07129669,133.8049927,187.8609924,235.9519958,264.0660095,260.5570068,229.4680023,172.9279938,106.3960037,55.10400009,36.60879898
7338,49209,10630,48.96049881,84.56130219,133.7539978,187.1100006,234.9989929,262.4100037,258.8959961,228.5879974,172.3110046,105.6969986,55.13809967,37.11909866
7339,49210,10631,49.68310165,85.64559937,134.720993,187.1329956,235.1569977,261.8840027,257.9089966,228.272995,172.4259949,105.4199982,55.53509903,37.80270004
7340,49211,10632,50.52799988,87.02110291,135.8789978,187.2100067,235.2129974,261.3959961,256.9299927,227.7619934,172.3619995,105.1100006,56.07030106,38.53150177
7341,49212,10633,51.15060043,87.72489929,136.6320038,186.9490051,235.0390015,260.4060059,256.2099915,227.1759949,171.8200073,104.4329987,56.22850037,39.11970139
7342,49213,10634,51.76549911,88.31890106,137.1869965,186.8450012,235.0209961,259.302002,255.5390015,226.5910034,170.8419952,103.9410019,56.15859985,39.76380157
7343,49214,10635,52.34820175,89.04049683,137.779007,187.0070038,234.9179993,258.0280151,254.6820068,225.7980042,169.6719971,103.3669968,56.10710144,40.34260178
7344,49215,10636,53.18470001,90.3065033,138.3500061,187.6519928,235.2079926,257.5379944,254.2859955,225.5269928,169.173996,103.3300018,56.4817009,41.0970993
7345,49216,10637,54.11019897,91.58339691,138.6119995,187.9210052,234.8580017,256.625,253.2649994,224.9660034,169.0559998,103.3840027,56.83919907,41.90879822
7346,49217,10638,55.1427002,92.86930084,139.0429993,187.7940063,233.8800049,255.7949982,252.2559967,224.5939941,169.4759979,103.4280014,57.53919983,42.68199921
7347,49218,10639,56.13299942,93.89389801,139.3809967,186.9170074,231.9929962,254.1109924,250.4470062,223.4669952,169.4069977,103.0039978,58.06790161,43.37779999
7348,49219,10640,57.05099869,94.75959778,139.852005,185.7299957,229.7460022,252.0599976,248.095993,221.951004,168.9170074,102.401001,58.37820053,44.03779984
7349,49220,10641,57.62939835,95.36180115,140.5839996,185.0700073,228.4400024,250.8130035,246.4429932,220.470993,167.9400024,102.3499985,58.34149933,44.63679886
7350,49221,10642,58.64590073,96.68730164,142.2109985,185.2460022,228.7250061,249.8379974,245.8560028,219.2949982,167.3009949,102.8889999,58.74330139,45.56420135
7351,49222,10643,59.06880188,97.08730316,142.7740021,184.7050018,227.6790009,247.8000031,244.1699982,217.2259979,166.147995,102.6449966,58.72480011,45.84500122
7352,49223,10644,59.09759903,96.74479675,142.9499969,183.7779999,226.2940063,245.951004,241.8639984,215.0119934,164.7910004,102.0449982,58.70029831,46.00049973
7353,49224,10645,59.17750168,96.81780243,143.7899933,183.7709961,225.3730011,245.1499939,240.677002,213.3619995,163.8569946,101.4970016,58.50780106,45.98550034
7354,49225,10646,59.52709961,97.52999878,145.4060059,184.8930054,226.4810028,246.3439941,240.5330048,212.4470062,164.1419983,102.1210022,58.94869995,46.38629913
7355,49226,10647,59.78919983,98.14179993,147.496994,186.8789978,228.7599945,248.5800018,241.5630035,212.3580017,165.1390076,103.1910019,59.65750122,46.93119812
7356,49227,10648,60.86360168,99.75630188,150.9490051,190.8099976,233.1790009,253.1000061,244.8269958,214.6820068,167.3000031,104.913002,60.88119888,47.97740173
7357,49228,10649,62.25500107,101.8560028,154.8200073,195.4199982,236.8139954,256.9400024,247.9960022,217.5599976,169.5169983,107.0100021,62.2419014,49.1147995
7358,49229,10650,63.14870071,103.3960037,157.8630066,198.6799927,238.9819946,258.5859985,249.6260071,219.5039978,170.8309937,108.4690018,63.31240082,49.89110184
7359,49230,10651,63.97449875,105.0559998,162.1430054,202.3970032,241.3209991,258.9100037,250.4320068,220.9839935,171.6000061,109.598999,64.48280334,50.59600067
7360,49231,10652,64.52870178,106.1159973,164.802002,205.8679962,243.1430054,257.7099915,249.3769989,221.3899994,171.5879974,110.3330002,65.2562027,51.03540039
7361,49232,10653,64.66829681,106.3649979,164.5939941,205.6459961,241.0370026,254.3540039,246.5559998,219.1589966,170.0050049,110.1429977,65.39440155,51.21260071
7362,49233,10654,64.5141983,106.0370026,163.2250061,204.1210022,237.6390076,250.3710022,243.147995,215.7579956,167.9779968,109.5550003,65.23680115,51.19670105
7363,49234,10655,64.81919861,106.4869995,163.0209961,204.1170044,235.8220062,248.0180054,240.3450012,213.3609924,167.0769958,109.6169968,65.40969849,51.60770035
7364,49235,10656,66.89880371,109.4749985,166.6430054,208.6730042,237.7949982,248.4470062,239.220993,213.1080017,167.9400024,111.2959976,66.72270203,53.125
7365,49236,10657,69.26429749,112.5650024,170.5059967,213.3220062,239.7929993,248.5180054,237.602005,212.2839966,168.6190033,112.6529999,68.21269989,54.67200089
7366,49237,10658,70.57630157,113.6880035,171.5359955,214.0010071,239.7779999,246.3899994,233.5090027,208.6920013,167.6159973,113.0100021,69.22029877,55.7798996
7367,49238,10659,71.42379761,114.1470032,171.5370026,213.6569977,239.2969971,243.2030029,228.6660004,204.0420074,166.223999,113.1920013,70.19680023,56.90459824
7368,49239,10660,72.53289795,114.7630005,171.223999,212.2680054,238.4380035,240.5650024,225.0610046,200.0899963,164.8280029,113.5189972,71.86129761,58.34260178
7369,49240,10661,72.81430054,114.4589996,169.1380005,208.4880066,235.052002,236.6439972,222.2200012,196.3609924,162.6060028,112.8339996,72.63110352,58.89640045
7370,49241,10662,72.44509888,113.3519974,165.897995,204.3119965,230.7059937,230.9799957,218.1759949,191.5059967,158.9680023,111.8430023,73.02919769,58.94979858
7371,49242,10663,72.42900085,112.8720016,164.0119934,202.0149994,228.4519958,229.3439941,217.1170044,189.7359924,158.0610046,112,73.37840271,59.1128006
7372,49243,10664,72.39499664,112.5289993,162.701004,200.4640045,227.2559967,229.3970032,217.1300049,189.0980072,158.1470032,112.5879974,73.63970184,59.24739838
7373,49244,10665,72.38300323,112.3919983,162.1230011,199.677002,227.5209961,231.0679932,218.7460022,190.2220001,158.9539948,113.4680023,74.09049988,59.48239899
7374,49245,10666,72.59999847,112.8769989,163.0690002,201.0410004,228.1710052,232.6289978,220.1779938,192.1399994,159.4329987,113.9020004,74.52610016,59.88499832
7375,49246,10667,73.00219727,113.6429977,164.0700073,202.0899963,228.2079926,233.6999969,220.6459961,193.6600037,159.7089996,113.9079971,74.96790314,60.38159943
7376,49247,10668,72.66349792,113.3789978,163.0670013,201.3000031,226.9210052,233.3939972,219.4409943,193.2460022,158.8589935,113.2170029,74.70240021,60.20159912
7377,49248,10669,72.4108963,112.9440002,161.970993,200.2680054,225.2220001,232.2649994,217.6199951,192.1049957,157.1369934,112.4029999,74.26380157,59.90620041
7378,49249,10670,72.27770233,112.8919983,161.5700073,199.4819946,223.8880005,230.8860016,215.9389954,190.6750031,155.6880035,111.6470032,73.89800262,59.74760056
7379,49250,10671,72.79119873,113.9440002,162.3690033,198.9839935,222.621994,229.2610016,214.4819946,189.0709991,154.2920074,111.2900009,73.9138031,60.05400085
7380,49251,10672,73.10510254,114.4469986,162.9309998,198.371994,221.4120026,227.6430054,214.2089996,188.7290039,153.1640015,110.7129974,73.582901,60.15890121
7381,49252,10673,73.20690155,114.6500015,163.5630035,198.1080017,219.8139954,226.6730042,214.2649994,188.0480042,152.0970001,110.1699982,73.01470184,59.96620178
