OID,ID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_7,VALUE_8,VALUE_9,VALUE_10,VALUE_11,VALUE_12,VALUE_13,VALUE_14,VALUE_15,VALUE_16,VALUE_17
-1,14758,0,0,0,0,0,0,0,0,0,0,17000000,0,0,0,0,0,8131000000
-1,14864,460000000,66000000,0,2000000,228000000,2000000,0,1962000000,63000000,650000000,155000000,0,0,0,0,0,4572000000
-1,14865,1486000000,237000000,0,0,1719000000,3000000,143000000,1074000000,132000000,1266000000,167000000,0,0,0,44000000,19000000,1955000000
-1,14866,87000000,52000000,0,4000000,571000000,0,186000000,399000000,50000000,1427000000,355000000,0,0,0,3835000000,568000000,626000000
-1,14867,89000000,1000000,0,83000000,736000000,4000000,146000000,286000000,40000000,3304000000,307000000,5000000,2000000,0,834000000,1573000000,835000000
-1,14868,0,0,0,0,6000000,0,2860000000,0,5000000,4074000000,12000000,0,0,0,0,737000000,466000000
-1,14869,0,0,0,0,0,0,3985000000,0,3000000,3520000000,0,0,4000000,0,0,648000000,0
-1,14870,0,0,0,0,0,0,3996000000,0,0,4055000000,0,0,0,0,0,194000000,0
-1,14871,0,0,0,0,0,0,3483000000,0,0,4156000000,0,0,2000000,0,0,519000000,0
-1,14872,0,0,0,0,0,0,2481000000,0,0,4444000000,0,0,3000000,0,0,514000000,803000000
-1,14873,0,0,0,0,0,0,1700000000,0,0,1031000000,3000000,0,0,0,0,213000000,5213000000
-1,14874,0,0,0,0,0,0,6000000,0,0,35000000,1000000,0,0,0,0,8000000,8195000000
-1,15008,0,0,0,0,0,0,0,0,66000000,103000000,131000000,0,0,0,0,63000000,7797000000
-1,15009,2000000,0,0,0,0,0,0,0,17000000,128000000,257000000,0,0,0,0,103000000,7738000000
-1,15224,288000000,59000000,0,0,2000000,0,0,54000000,0,0,63000000,0,0,0,0,0,7886000000
-1,15225,853000000,454000000,0,4000000,1093000000,0,91000000,342000000,8000000,729000000,115000000,0,0,0,11000000,17000000,4722000000
-1,15226,124000000,141000000,0,2000000,1162000000,1000000,194000000,340000000,37000000,1780000000,287000000,0,0,0,2855000000,829000000,600000000
-1,15227,54000000,19000000,0,70000000,1252000000,8000000,68000000,418000000,220000000,3670000000,154000000,0,3000000,0,657000000,1555000000,291000000
-1,15228,0,0,0,0,0,5000000,3021000000,0,15000000,3752000000,7000000,0,0,0,5000000,1331000000,216000000
-1,15229,0,0,0,0,0,0,5817000000,0,0,2092000000,0,0,0,0,0,443000000,0
-1,15230,0,0,0,0,0,0,6314000000,0,0,1823000000,0,0,0,0,0,301000000,1000000
-1,15231,0,0,0,0,0,0,6633000000,0,0,1249000000,0,0,0,0,0,465000000,5000000
-1,15232,0,0,0,0,0,0,6188000000,0,0,1529000000,0,0,3000000,0,0,717000000,2000000
-1,15233,0,0,0,0,0,0,4545000000,0,0,3002000000,0,0,1000000,0,0,356000000,448000000
-1,15234,0,0,0,0,0,0,662000000,0,0,791000000,0,0,12000000,0,0,118000000,6856000000
-1,15467,370000000,267000000,0,0,0,0,0,0,0,0,49000000,0,0,0,0,0,7666000000
-1,15468,80000000,102000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8257000000
-1,15584,327000000,1072000000,0,9000000,266000000,0,0,7000000,0,4000000,99000000,0,0,0,0,0,6664000000
-1,15585,1654000000,1890000000,0,2000000,2072000000,0,6000000,246000000,3000000,232000000,137000000,0,0,0,5000000,22000000,2267000000
-1,15586,806000000,832000000,0,2000000,1596000000,2000000,78000000,23000000,15000000,711000000,376000000,0,0,0,2434000000,663000000,910000000
